New Zealand,NZL,2018,1452644,Poland,Delete
Nicaragua,NIC,2018,292028,Portugal,Delete
Niger,NER,2018,182125,Qatar,Delete
Nigeria,NGA,2018,1451207,Romania,Keep
Norway,NOR,2018,361001,Saint Kitts and Nevis,Delete
Oman,OMN,2018,80033,Saint Lucia,Keep
Pakistan,PAK,2018,3870230,Saint Vincent and the Grenadines,Delete
Panama,PAN,2018,322935,Sao Tome and Principe,Keep
Papua New Guinea,PNG,2018,501672,Saudi Arabia,Delete
Paraguay,PRY,2018,734282,Senegal,Delete
Peru,PER,2018,2015635,Serbia,Keep
Philippines,PHL,2018,3641656,Seychelles,Keep
Poland,POL,2018,4462900,Sierra Leone,Delete
Portugal,PRT,2018,851574,Slovakia,Delete
Qatar,QAT,2018,24131,Somalia,Delete
Romania,ROU,2018,1151673,South Sudan,Delete
Russia,RUS,2018,10629378,Spain,Keep
Rwanda,RWA,2018,95278,Sri Lanka,Keep
Saint Kitts and Nevis,KNA,2018,232,Sudan,Delete
Saint Lucia,LCA,2018,4678,Suriname,Delete
Saint Vincent and the Grenadines,VCT,2018,1119,Switzerland,Delete
Sao Tome and Principe,STP,2018,1339,Taiwan,Delete
Saudi Arabia,SAU,2018,762218,Tajikistan,Delete
Senegal,SEN,2018,226682,Tanzania,Delete
Serbia,SRB,2018,514734,Thailand,Delete
Seychelles,SYC,2018,1040,Timor-Leste,Delete
Sierra Leone,SLE,2018,47104,Togo,Delete
Singapore,SGP,2018,125342,Trinidad and Tobago,Keep
Slovakia,SVK,2018,152268,Tunisia,Delete
Slovenia,SVN,2018,137171,Turkey,Keep
Somalia,SOM,2018,188165,Ukraine,Delete
South Africa,ZAF,2018,3241019,United Arab Emirates,Keep
South Sudan,SSD,2018,433800,United States of America,Delete
Spain,ESP,2018,7028021,Vietnam,Delete
Sri Lanka,LKA,2018,215157,West Bank and Gaza,Delete
Sudan,SDN,2018,986987,Western Sahara,Delete
Suriname,SUR,2018,14636,Yemen,Delete
Sweden,SWE,2018,569733,Zimbabwe,Keep
Togo,TGO,2018,72643,,Delete
Trinidad and Tobago,TTO,2018,68597,,Delete
Tunisia,TUN,2018,345521,,Delete
Turkey,TUR,2018,3668362,,Delete
Uganda,UGA,2018,519318,,Keep
Ukraine,UKR,2018,2382786,,Delete
United Arab Emirates,ARE,2018,170357,,Delete
United Kingdom,GBR,2018,4087453,,Keep
Uruguay,URY,2018,662119,,Keep
Uzbekistan,UZB,2018,1205758,,Keep
Venezuela,VEN,2018,1294958,,Keep
Vietnam,VNM,2018,5227733,,Delete
Western Sahara,ESH,2018,2518,,Delete
Yemen,YEM,2018,424876,,Delete
Zambia,ZMB,2018,321329,,Keep
Zimbabwe,ZWE,2018,259091,,Delete
